3:2:2:2:2
0:0:0:0,860795155102757
0:0:1:5,77170379356095
0:1:0:5,48968555568237
0:1:1:-0,594367251542568
0:2:0:-0,719849955625762
0:2:1:-4,98602616693174
0:3:0:0,757365425935651
0:3:1:0,909912237389904
1:0:0:1,53809829872944
1:0:1:1,67920693460815
1:1:0:-2,45652455205867
1:1:1:-0,0474578999203899
1:2:0:-0,863928793866154
1:2:1:-0,185216883283675
2:0:0:1,63274728210305
2:0:1:-4,02191023995257
2:1:0:-5,67932531502066
2:1:1:-7,37769214314301
2:2:0:-0,000490129925538846
2:2:1:-1,11195989517121
3:0:0:-0,333914658675862
3:0:1:4,96654128840498
3:1:0:-0,634624340866983
3:1:1:0,378488345713582
3:2:0:-7,32987295711873
3:2:1:-0,214298958989931
