4:5:6
0:0:0:-1,69184920456812
0:0:1:0,525925283565151
0:0:2:3,70769482278623
0:0:3:1,31679498558715
0:0:4:-4,76906604169359
0:1:0:-2,92667677343203
0:1:1:-0,6292293037424
0:1:2:-3,37407407228559
0:1:3:-8,67748954085516
0:1:4:-4,06266540478108
0:2:0:-4,33134539813332
0:2:1:4,18463613567158
0:2:2:0,759882204588448
0:2:3:1,16421738926518
0:2:4:-7,42304331409887
0:3:0:0,165066411795591
0:3:1:-2,46233358348828
0:3:2:3,49731531669261
0:3:3:0,860704118786708
0:3:4:0,997006947173275
0:4:0:-2,74887152516696
0:4:1:5,87814733380366
0:4:2:-3,80294486638296
0:4:3:0
0:4:4:4,44705510532812
1:0:0:8,9187310156034
1:0:1:0
1:0:2:-0,980308759482721
1:0:3:-0,447491220406951
1:0:4:1,74162117286661
1:0:5:-2,08659105053478
1:1:0:-0,0227194731229541
1:1:1:-0,506679981251564
1:1:2:0,567857054792278
1:1:3:0
1:1:4:-6,86581453907574
1:1:5:-8,95942327052328
1:2:0:-2,72102179318714
1:2:1:0,855396436925696
1:2:2:2,12469081260482
1:2:3:2,11179655097043
1:2:4:-1,50366494502112
1:2:5:-1,05244011527507
1:3:0:3,1004602150528
1:3:1:-7,34268115802793
1:3:2:1,5964873529023
1:3:3:-0,353093303438785
1:3:4:0,908461876170925
1:3:5:-0,0823722272563596
1:4:0:-3,01929929434289
1:4:1:-1,21383042131263
1:4:2:-6,82672502418362
1:4:3:5,40798567859828
1:4:4:-0,457720658955034
1:4:5:3,5975720889855
1:5:0:-0,337181043036832
1:5:1:-0,495062579631369
1:5:2:0,155974268054578
1:5:3:1,89255580627013
1:5:4:-3,71287561194639
1:5:5:-3,44227129753785
